City,Lat,Lng,Max_Temp,Humidity,Cloudiness,Wind_Speed,Country,Date
,-23.1203,,25.67,,,,,
,51.226,,-4.48,,,,,
,-9.8,,25.47,,,,,
,50.6789,,-1.15,,,,,
,35.1333,,7.0,,,,,
,-21.2,,28.0,,,,,
,-54.8,,14.0,,,,,
,3.0707,,27.2,,,,,
,54.3,,-30.14,,,,,
,62.1444,,-45.31,,,,,
,-20.5167,,26.0,,,,,
,-33.65,,15.56,,,,,
,65.75,,-34.98,,,,,
,71.9667,,-32.29,,,,,
,56.8519,,-19.02,,,,,
,-23.865,,27.76,,,,,
,-46.1927,,17.78,,,,,
,-34.5322,,18.0,,,,,
,-33.9258,,20.56,,,,,
,-42.8794,,12.22,,,,,
,31.61,,14.44,,,,,
,-0.7393,,27.0,,,,,
,-0.8833,,26.1,,,,,
,63.6445,,-23.74,,,,,
,4.9333,,28.0,,,,,
,-38.0023,,20.0,,,,,
,-6.2167,,27.17,,,,,
,67.667,,-2.0,,,,,
,-21.2078,,29.0,,,,,
,40.1629,,9.44,,,,,
,42.6001,,3.33,,,,,
,42.097,,1.11,,,,,
,70.6333,,-26.56,,,,,
,22.2855,,16.11,,,,,
,5.4112,,26.0,,,,,
,-24.8667,,26.0,,,,,
,-21.3393,,27.0,,,,,
,17.4924,,15.0,,,,,
,-46.6,,17.78,,,,,
,73.5069,,-35.33,,,,,
,-21.3585,,27.0,,,,,
,49.0333,,-21.0,,,,,
,-1.7483,,32.35,,,,,
,-42.7826,,12.22,,,,,
,45.5234,,10.0,,,,,
,36.2642,,8.0,,,,,
,64.3833,,-20.51,,,,,
,-17.7125,,25.62,,,,,
,68.0546,,-26.7,,,,,
,2.1,,22.96,,,,,
,66.0449,,1.0,,,,,
,60.9167,,-8.0,,,,,
,-7.95,,24.21,,,,,
,53.0533,,-9.29,,,,,
,-41.8697,,19.44,,,,,
,72.7868,,-11.98,,,,,
,9.4092,,17.82,,,,,
,22.0752,,26.0,,,,,
,5.7667,,27.12,,,,,
,-33.918,,20.0,,,,,
,47.6666,,0.56,,,,,
,37.4636,,20.56,,,,,
,21.4612,,27.0,,,,,
,47.6167,,-0.61,,,,,
,-34.4187,,17.78,,,,,
,-22.4333,,26.42,,,,,
,68.75,,-29.48,,,,,
,-9.8756,,27.07,,,,,
,37.1041,,18.33,,,,,
,43.213,,10.56,,,,,
,-17.2222,,23.59,,,,,
,69.2167,,-10.0,,,,,
,31.3667,,18.0,,,,,
,-25.2986,,23.33,,,,,
,78.2186,,-9.0,,,,,
,-16.5167,,27.46,,,,,
,57.79,,4.0,,,,,
,40.1578,,1.11,,,,,
,54.1742,,-22.25,,,,,
,18.4167,,28.0,,,,,
,-23.3167,,24.06,,,,,
,-45.4167,,12.36,,,,,
,-20.7377,,30.75,,,,,
,40.9983,,3.0,,,,,
,-8.345,,24.06,,,,,
,-33.5906,,20.56,,,,,
,-0.6,,27.1,,,,,
,-22.6667,,25.43,,,,,
,62.7167,,-39.18,,,,,
,52.4503,,-10.48,,,,,
,4.1363,,24.45,,,,,
,-16.4833,,27.46,,,,,
,54.3161,,6.0,,,,,
,55.7435,,-9.0,,,,,
,20.7667,,18.62,,,,,
,-14.2667,,24.66,,,,,
,61.25,,-16.0,,,,,
,15.4,,20.57,,,,,
,45.3167,,-0.63,,,,,
,22.1965,,12.13,,,,,
,-11.9,,17.48,,,,,
,-25.1667,,24.29,,,,,
,11.6667,,24.95,,,,,
,-33.6971,,27.89,,,,,
,49.7834,,-3.0,,,,,
,-3.3667,,24.61,,,,,
,-30.1811,,24.34,,,,,
,65.6145,,0.0,,,,,
,-18.0311,,23.09,,,,,
,-53.15,,15.0,,,,,
,67.4667,,-25.88,,,,,
,30.4833,,24.27,,,,,
,4.423,,26.11,,,,,
,29.0331,,10.74,,,,,
,-13.8833,,27.43,,,,,
,-10.9431,,20.21,,,,,
,17.0151,,21.0,,,,,
,-12.7333,,27.0,,,,,
,64.8569,,-21.0,,,,,
,-22.9575,,21.67,,,,,
,49.4103,,-12.55,,,,,
,-3.8004,,24.37,,,,,
,-20.0064,,27.22,,,,,
,69.7008,,-27.64,,,,,
,-22.9661,,28.0,,,,,
,-7.8447,,21.0,,,,,
,-24.7911,,22.37,,,,,
,52.5178,,-19.27,,,,,
,46.7037,,-6.0,,,,,
,-25.2406,,19.0,,,,,
,-17.3511,,24.27,,,,,
,54.7682,,-3.0,,,,,
,38.4362,,7.4,,,,,
,24.6877,,17.0,,,,,
,34.8791,,9.0,,,,,
,71.9167,,-26.69,,,,,
,69.4541,,-19.0,,,,,
,19.7297,,27.0,,,,,
,31.4583,,5.37,,,,,
,8.2,,26.75,,,,,
,45.6168,,1.0,,,,,
,68.0531,,-1.75,,,,,
,-14.6585,,17.82,,,,,
,49.6998,,-3.33,,,,,
,32.6667,,13.33,,,,,
,-3.6954,,25.0,,,,,
,-13.7,,25.0,,,,,
,28.6585,,17.0,,,,,
,-33.0117,,19.0,,,,,
,62.456,,-20.0,,,,,
,48.6499,,-0.56,,,,,
,38.5333,,16.0,,,,,
,-23.7,,20.0,,,,,
,38.5167,,16.0,,,,,
,19.25,,24.0,,,,,
,-43.3002,,17.79,,,,,
,22.8909,,26.11,,,,,
,-31.4707,,15.65,,,,,
,63.8424,,3.0,,,,,
,61.67,,-32.74,,,,,
,45.9736,,0.56,,,,,
,43.3236,,-5.67,,,,,
,77.484,,-14.7,,,,,
,42.8,,-9.46,,,,,
,18.5007,,17.28,,,,,
,57.0531,,8.0,,,,,
,-9.1061,,23.21,,,,,
,66.7131,,-8.17,,,,,
,40.6334,,7.78,,,,,
,-33.8667,,12.0,,,,,
,42.6056,,0.56,,,,,
,34.4506,,12.58,,,,,
,-19.55,,27.19,,,,,
,56.2875,,-7.44,,,,,
,38.2477,,2.99,,,,,
,20.8947,,28.0,,,,,
,48.9095,,-10.8,,,,,
,-2.5364,,30.91,,,,,
,37.7167,,16.67,,,,,
,67.8006,,-34.53,,,,,
,43.4065,,13.0,,,,,
,-35.1667,,21.84,,,,,
,37.4725,,5.0,,,,,
,32.442,,-2.78,,,,,
,35.3647,,11.11,,,,,
,62.5833,,-2.0,,,,,
,49.9811,,-27.8,,,,,
,35.1717,,7.0,,,,,
,-17.8,,29.0,,,,,
,10.5669,,27.6,,,,,
,1.7471,,27.77,,,,,
,-8.2578,,25.55,,,,,
,-33.0153,,21.35,,,,,
,-16.0999,,25.08,,,,,
,63.4427,,4.27,,,,,
,-16.7,,27.31,,,,,
,64.5011,,-12.0,,,,,
,71.2906,,-18.0,,,,,
,46.4856,,-27.64,,,,,
,42.4165,,10.56,,,,,
,-3.3333,,27.22,,,,,
,-13.2,,23.9,,,,,
,-16.1564,,25.0,,,,,
,-37.6167,,15.87,,,,,
,65.282,,-18.0,,,,,
