City,Lat,Lng,Max_Temp,Humidity,Cloudiness,Wind_Speed,Country,Date
kahului,20,-156,22,73,20,3,US,1611084222
butaritari,3,172,26,82,85,8,KI,1611084222
albany,42,-73,2,60,100,3,US,1611084222
hermanus,-34,19,20,76,76,0,ZA,1611084222
mataura,-46,168,6,95,100,4,NZ,1611084222
castro,-24,-50,21,89,100,4,BR,1611084222
fortuna,40,-124,14,50,1,2,US,1611084223
ogre,56,24,-10,85,0,4,LV,1611084223
vaini,-21,-175,26,94,40,1,TO,1611084223
carnarvon,-24,113,25,88,40,7,AU,1611084223
kavieng,-2,150,27,77,99,6,PG,1611084223
fuxin,42,121,-7,97,100,2,CN,1611084223
cabo san lucas,22,-109,22,49,90,1,MX,1611084223
tiksi,71,128,-32,85,100,0,RU,1611084223
chongwe,-15,28,21,83,75,4,ZM,1611084223
leningradskiy,69,178,-27,87,100,6,RU,1611084223
kapaa,22,-159,21,94,90,7,US,1611084223
tadine,-21,167,25,82,100,2,NC,1611084223
deputatskiy,69,139,-37,85,94,0,RU,1611084223
san nicolas,18,120,24,78,20,2,PH,1611084224
clyde river,70,-68,-18,92,90,4,CA,1611084224
bollnas,61,16,-3,98,95,1,SE,1611084224
punta arenas,-53,-70,16,55,20,4,CL,1611084224
rikitea,-23,-134,25,76,63,8,PF,1611084224
mar del plata,-38,-57,23,68,0,6,AR,1611084224
ligayan,4,119,27,78,48,4,PH,1611084224
carauari,-4,-66,22,98,100,0,BR,1611084224
kloulklubed,7,134,26,89,90,7,PW,1611084224
lebu,-37,-73,18,67,0,9,CL,1611084224
jamestown,42,-79,-1,80,90,6,US,1611084225
ushuaia,-54,-68,16,44,20,2,AR,1611084090
nelson bay,-32,152,19,72,90,3,AU,1611084225
broken hill,-31,141,18,24,55,2,AU,1611084225
fauske,67,15,-1,59,0,11,NO,1611084225
kasongo-lunda,-6,16,21,91,95,0,CD,1611084225
sur,22,59,20,57,0,1,OM,1611084225
taloda,21,74,22,30,0,1,IN,1611084225
port elizabeth,-33,25,21,83,0,9,ZA,1611084225
ribeira grande,38,-28,16,72,20,9,PT,1611084225
jacareacanga,-6,-57,28,78,75,0,BR,1611084225
qaanaaq,77,-69,-17,72,98,3,GL,1611084225
mount isa,-20,139,26,73,40,2,AU,1611084211
concepcion del uruguay,-32,-58,33,29,0,0,AR,1611084056
mundo nuevo,18,-95,23,75,3,3,MX,1611084226
madimba,-10,40,28,83,40,6,TZ,1611084226
huarmey,-10,-78,24,65,23,4,PE,1611084226
busselton,-33,115,18,93,46,1,AU,1611084226
mbini,1,9,28,74,20,2,GQ,1611084226
bredasdorp,-34,20,19,72,76,3,ZA,1611084226
atuona,-9,-139,25,78,26,5,PF,1611084226
bubaque,11,-15,27,49,43,4,GW,1611084226
naze,28,129,14,66,96,4,JP,1611084226
tambun,-6,107,25,94,40,1,ID,1611084226
ambon,-3,128,28,90,99,3,ID,1611084226
okhtyrka,50,34,-16,93,62,1,UA,1611084227
saint-philippe,-21,55,29,70,75,1,RE,1611084227
surin,14,103,19,79,0,2,TH,1611084227
vestmannaeyjar,63,-20,3,56,40,8,IS,1611084227
dormidontovka,47,134,-25,84,0,3,RU,1611084227
muncar,-8,114,23,81,100,0,ID,1611084227
gladstone,-23,151,24,83,0,1,AU,1611084227
dubti,11,41,25,45,10,4,ET,1611084227
zhezkazgan,47,67,-7,96,100,2,KZ,1611084227
roma,43,-75,1,69,90,5,US,1611084125
tongren,27,109,9,60,87,1,CN,1611084227
nikolskoye,59,30,-5,86,40,1,RU,1611084228
komsomolskiy,40,71,6,61,90,4,UZ,1611084228
zhanakorgan,43,67,3,89,100,3,KZ,1611084228
sambava,-14,50,23,88,100,4,MG,1611084228
caucaia,-3,-38,25,94,75,2,BR,1611084228
samarinda,0,117,23,97,100,0,ID,1611084228
saint george,37,-113,10,31,1,3,US,1611084228
arman,59,150,-26,77,100,5,RU,1611084228
longyearbyen,78,15,-7,63,75,6,SJ,1611084228
tuktoyaktuk,69,-133,-20,84,75,6,CA,1611084228
torquay,50,-3,11,1,100,4,GB,1611084228
ponta do sol,32,-17,15,63,97,2,PT,1611084228
ningxiang,37,111,-2,89,0,1,CN,1611084228
yellowknife,62,-114,-9,92,90,8,CA,1611084229
avarua,-21,-159,29,74,40,3,CK,1611084193
saldanha,-33,17,20,68,0,6,ZA,1611084024
najran,17,44,15,20,0,1,SA,1611083967
comodoro rivadavia,-45,-67,25,44,20,7,AR,1611084229
hilo,19,-155,21,83,75,3,US,1611084183
ponta delgada,37,-25,15,72,40,9,PT,1611084139
mapiripan,2,-72,32,42,61,5,CO,1611084229
college,64,-147,-4,80,90,7,US,1611084229
victoria,22,114,16,71,99,0,HK,1611083942
tucuman,-26,-65,31,40,0,3,AR,1611084031
grover beach,35,-120,19,19,1,12,US,1611084229
olga,43,135,-20,75,0,3,RU,1611084229
chuy,-33,-53,26,45,0,4,UY,1611084229
dikson,73,80,-29,88,90,4,RU,1611084230
nalut,30,10,9,47,100,4,LY,1611084230
atambua,-9,124,23,93,100,1,ID,1611084065
cape town,-33,18,20,72,20,9,ZA,1611084116
henties bay,-22,14,19,88,100,3,NA,1611084230
bandar-e lengeh,26,54,19,63,0,2,IR,1611084230
nouadhibou,20,-17,20,60,100,6,MR,1611084230
yulara,-25,130,23,21,0,3,AU,1611084230
esperance,-33,121,22,53,31,7,AU,1611084230
coquimbo,-29,-71,19,68,0,6,CL,1611084001
hasaki,35,140,-2,54,0,3,JP,1611084230
rensvik,63,7,0,59,0,2,NO,1611084230
hambantota,6,81,24,100,75,0,LK,1611084231
otta,61,9,-6,91,100,1,NO,1611084231
amahai,-3,128,28,90,99,1,ID,1611084231
genhe,50,121,-25,87,100,0,CN,1611084231
mandalgovi,45,106,-12,85,0,5,MN,1611084231
iwaki,37,140,0,51,1,0,JP,1611084231
samarai,-10,150,28,78,93,5,PG,1611084231
puerto ayacucho,5,-67,33,45,7,4,VE,1611084231
kaitangata,-46,169,9,67,100,2,NZ,1611084231
guerrero negro,27,-114,19,57,99,8,MX,1611084231
nanortalik,60,-45,-1,85,3,5,GL,1611084231
komotini,41,25,0,63,0,0,GR,1611084231
hobart,-42,147,7,76,20,4,AU,1611084232
ilulissat,69,-51,-3,54,75,2,GL,1611084232
bluff,-46,168,11,73,99,8,NZ,1611084232
maarianhamina,60,19,1,64,75,8,AX,1611084232
saskylakh,71,114,-29,86,100,2,RU,1611084232
remigio,-6,-35,29,54,20,8,BR,1611084232
tashtyp,52,89,-14,88,83,2,RU,1611084232
yokadouma,3,15,24,25,59,0,CM,1611084232
luderitz,-26,15,22,57,0,10,NA,1611084232
ewa beach,21,-158,24,83,20,2,US,1611084217
polunochnoye,60,60,-22,88,100,2,RU,1611084232
chilliwack,49,-121,5,81,100,0,CA,1611084016
portland,45,-122,8,75,75,2,US,1611084139
srednekolymsk,67,153,-42,79,39,1,RU,1611084233
salta,-24,-65,27,39,40,3,AR,1611084233
porto nacional,-10,-48,30,62,20,1,BR,1611084233
kavaratti,10,72,27,72,0,2,IN,1611084233
patti,31,74,10,100,90,1,IN,1611084233
saint-augustin,51,-58,-3,91,26,4,CA,1611084233
arraial do cabo,-22,-42,30,61,0,5,BR,1611084233
ambilobe,-13,49,23,94,100,4,MG,1611084122
port hedland,-20,118,28,83,0,2,AU,1611084233
yurla,59,54,-19,90,100,1,RU,1611084233
japura,0,102,22,95,100,0,ID,1611084233
lerwick,60,-1,2,93,40,0,GB,1611084234
puerto ayora,0,-90,28,74,40,8,EC,1611084234
zig,40,-92,4,56,1,6,US,1611084234
kaeo,-35,173,16,92,96,2,NZ,1611084234
vila velha,-20,-40,31,45,20,8,BR,1611084234
souillac,-20,57,27,89,20,1,MU,1611084234
maracaju,-21,-55,23,90,100,0,BR,1611084234
mana,5,-53,27,70,99,5,GF,1611084234
klaksvik,62,-6,2,87,20,7,FO,1611084234
georgiyevka,43,74,0,86,100,3,KZ,1611084234
