City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
,38.4193,,37.99,,,,,
,-54.8,,59.0,,,,,
,71.9667,,-25.6,,,,,
,-9.8,,77.9,,,,,
,-15.1961,,74.82,,,,,
,66.0217,,26.6,,,,,
,4.9333,,84.2,,,,,
,-32.035,,82.99,,,,,
,-28.783,,73.85,,,,,
,63.7506,,1.0,,,,,
,-53.15,,62.6,,,,,
,-19.55,,79.43,,,,,
,43.2128,,35.01,,,,,
,-46.6,,62.01,,,,,
,-0.7393,,80.6,,,,,
,30.4091,,53.6,,,,,
,-13.8833,,81.48,,,,,
,-33.65,,60.01,,,,,
,70.3705,,34.45,,,,,
,42.6001,,39.0,,,,,
,63.3667,,-11.09,,,,,
,-37.6167,,61.14,,,,,
,-33.8167,,86.0,,,,,
,-28.65,,64.4,,,,,
,20.5022,,62.91,,,,,
,-24.8667,,80.6,,,,,
,37.4636,,66.0,,,,,
,23.306,,43.45,,,,,
,48.1128,,26.01,,,,,
,42.097,,36.0,,,,,
,-46.1927,,62.01,,,,,
,-23.1203,,78.04,,,,,
,22.0752,,73.4,,,,,
,-26.1775,,93.2,,,,,
,-34.4187,,64.99,,,,,
,-33.0117,,68.0,,,,,
,-9.0122,,80.53,,,,,
,41.3712,,42.8,,,,,
,47.6666,,33.01,,,,,
,68.75,,-20.94,,,,,
,-24.7911,,76.01,,,,,
,22.2006,,60.8,,,,,
,73.5069,,-31.72,,,,,
,-25.7884,,75.2,,,,,
,-42.7826,,52.0,,,,,
,-20.5167,,80.6,,,,,
,18.55,,75.2,,,,,
,-33.9258,,70.0,,,,,
,67.45,,-32.37,,,,,
,-33.8667,,53.6,,,,,
,3.0707,,80.83,,,,,
,2.6708,,81.46,,,,,
,32.6667,,55.99,,,,,
,5.4112,,80.01,,,,,
,4.9247,,77.54,,,,,
,34.2576,,46.4,,,,,
,22.6783,,61.12,,,,,
,69.2167,,12.2,,,,,
,-8.103,,83.17,,,,,
,-46.1333,,62.01,,,,,
,60.1432,,20.8,,,,,
,8.3404,,80.08,,,,,
,53.5739,,-18.81,,,,,
,19.7297,,75.2,,,,,
,62.456,,-4.0,,,,,
,40.485,,28.0,,,,,
,-3.9014,,86.0,,,,,
,5.1053,,80.19,,,,,
,4.1213,,76.32,,,,,
,-33.918,,69.8,,,,,
,55.2834,,37.4,,,,,
,65.5833,,-8.7,,,,,
,-45.8667,,69.8,,,,,
,55.1001,,28.4,,,,,
,-33.5906,,69.01,,,,,
,21.9264,,56.39,,,,,
,36.8197,,46.0,,,,,
,41.3278,,51.01,,,,,
,-20.3428,,80.6,,,,,
,-2.65,,77.95,,,,,
,-8.9266,,62.04,,,,,
,-22.6667,,77.72,,,,,
,70.6333,,-15.25,,,,,
,72.7868,,10.85,,,,,
,-35.3333,,68.56,,,,,
,-29.9533,,64.4,,,,,
,-6.9811,,84.2,,,,,
,54.7183,,-21.42,,,,,
,-0.6,,81.16,,,,,
,-21.3585,,82.4,,,,,
,-21.6403,,86.0,,,,,
,10.2849,,73.65,,,,,
,-21.2,,80.6,,,,,
,22.8909,,77.0,,,,,
,29.1614,,51.67,,,,,
,-33.6971,,84.2,,,,,
,64.3833,,-4.0,,,,,
,39.7432,,13.95,,,,,
,51.3813,,44.01,,,,,
,60.9167,,19.4,,,,,
,12.485,,84.2,,,,,
,61.0108,,-3.1,,,,,
,65.6145,,30.2,,,,,
,70.4692,,1.4,,,,,
,77.484,,5.31,,,,,
,-7.2597,,84.2,,,,,
,12.7794,,76.21,,,,,
